Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Chaeyeon,Kim Chaeyeon,김채연,채연,12/4/2004,Busters,South Korea,,,F
Chaeyeon,Lee Chaeyeon,이채연,채연,1/11/2000,IZ*ONE,South Korea,Yongin,,F
Chaeyoung,Son Chaeyoung,손채영,채영,4/23/1999,Twice,South Korea,Seoul,,F
Chaeyoung,Lee Chaeyoung,이채영,채영,5/14/2000,fromis_9,South Korea,Pohang,,F
Chahee,Park Sooyoung,박수영,차희,3/24/1996,MELODYDAY,South Korea,,,F
Chan,Jung Chanwoo,정찬우,찬,1/26/1998,iKON,South Korea,Yongin,,M
Chan,Kang Yoochan,강유찬,찬,12/31/1997,A.C.E,South Korea,Jeju,UNB,M
Chan,Jo Chanhyuk,조찬혁,찬,12/8/1999,TOO,South Korea,,,M
Changbin,Seo Changbin,서창빈,창빈,8/11/1999,Stray Kids,South Korea,Yongin,3RACHA,M
Changbum,Woo Changbum,우창범,창범,10/7/1993,,South Korea,Sokcho,,M
Changgyu,Song Changgyu,송창규,창규,7/6/1993,UNVS,South Korea,,,M
Changjo,Choi Jonghyun,최종현,창조,11/16/1995,Teen Top,South Korea,Chuncheon,,M
Lee Changsub,Lee Changsub,이창섭,창섭,2/26/1991,BtoB,South Korea,Suwon,,M
Changsun,Lee Changsun,이창선,창선,3/17/1996,24K,South Korea,,,M
Chani,Kang Chanhee,강찬희,찬희,1/17/2000,SF9,South Korea,,,M
Chanmi,Kim Chanmi,김찬미,찬미,6/19/1996,AoA,South Korea,Gumi,,F
Chansung,Hwang Chansung,황찬성,찬성,2/11/1990,2PM,South Korea,Seoul,,M
Chanyeol,Park Chanyeol,박찬열,찬열,11/27/1992,EXO,South Korea,Seoul,,M
Chanyong,Kim Chanyong,김찬용,찬용,4/29/1993,100%,South Korea,Suwon,,M
Chanyoung,Kim Chanyoung,김찬영,찬영,11/20/2000,D-CRUNCH,South Korea,,,M
Chen,Kim Jongdae,김종대,첸,9/21/1992,EXO,South Korea,Silheung,EXO-CBX,M
Cheng Xiao,Cheng Xiao,청샤오,성소,7/15/1998,Cosmic Girls,China,Shenzhen,,F
Chenle,Zhong Chenle,중천러,천러,11/22/2001,NCT,China,Shanghai,NCT Dream,M
Cheongeum,Jang Cheongeum,장청음,청음,6/19/1996,Ho1iday,South Korea,,,F
Chiayi,Li Chiayi,지아이,지아이,1/22/2000,FANATICS,Taiwan,,FANATICS FLAVOR,F
Chihoon,Choi Chihoon,최치훈,치훈,4/27/1999,TOO,South Korea,,,M
Choa,Park Choa,박초아,초아,3/6/1990,,South Korea,Incheon,,F
Choa,Heo Minjin,허민진,초아,7/12/1990,Crayon Pop,South Korea,Seoul,,F
Choerry,Choi Yerim,최예림,최리,6/4/2001,LOONA,South Korea,,Loona Odd Eye Circle,F
Choi Jiann,Choi Jaewoo,최재우,최지안,9/30/1997,Newkidd,South Korea,,,M
Chorong,Park Chorong,박초롱,초롱,3/3/1991,Apink,South Korea,Chungwongoon,,F
Chungha,Kim Chungha,김청하,청하,2/9/1996,,South Korea,Dallas,,F
Chunji,Lee Chanhee,이찬희,천지,10/5/1993,Teen Top,South Korea,Seongnam,,M
Chuu,Kim Jiwoo,김지우,츄,10/20/1999,LOONA,South Korea,Cheongju,Loona yyxy,F
CL,Lee Chaerin,이채린,씨엘,2/26/1991,2NE1,South Korea,,,F
CNU,Shin Dongwoo,신동우,신우,7/16/1991,B1A4,South Korea,Seoul,,M
Cory,Hong Joohyung,홍주현,코리,11/25/1990,24K,South Korea,Daegu,,M
Cya,Lee Giwook,이기욱,키야,1/24/2000,Onewe,South Korea,,,M
D.ana,Cho Eunae,조은애,디애나,9/10/1995,Sonamoo,South Korea,Seoul,,F
D.O.,Do Kyungsoo,도경수,디오,1/12/1993,EXO,South Korea,Gyeonggi,,M
Daehwi,Lee Daehwi,이대휘,대휘,1/29/2001,AB6IX,South Korea,Seoul,,M
Daehyeon,Jang Daehyeon,장대현,대현,2/11/1997,,South Korea,,,M
Jung Daehyun,Jung Daehyun,정대현,대현,6/28/1993,B.A.P,South Korea,Busan,,M
Daeil,Kim Daeil,김대일,대일,5/10/1992,,South Korea,Busan,,M
Daesung,Daesung,강대성,대성,4/26/1989,BIGBANG,South Korea,Incheon,,M
Daeun,Jung Daeun,정다은,정다은,6/3/1994,2EYES,South Korea,Bucheon,,F
Daewang Nim,Daewang Nim,대왕님,대왕님,4/8/1996,Pink Fantasy,South Korea,,,F
Daeyeol,Lee Daeyeol,이대열,대열,2/11/1993,Golden Child,South Korea,Yongin,,M
Daeyeon,Hwang Da Kyeon,황연경,다연,11/17/1995,NeonPunch,South Korea,,,F
Dahye,Song Dahye,송다혜,다혜,6/12/1993,,South Korea,,,F
Dahyun,Kim Dahyun,김다현,다현,5/28/1998,Twice,South Korea,Seongnam,,F
Dahyun,Jeong Dahyun,정다현,다현,4/29/2005,Rocket Punch,South Korea,,,F
Dain,Song Jieun,송지은,다인,6/25/1990,,South Korea,,,F
Daisy,Yoo Jeongahn,유정안,데이지,1/22/1999,MOMOLAND,South Korea,Seoul,,F
Dajeong,Kim Dajeong,김다정,다정,8/8/1995,Hashtag,South Korea,Gwangju,,F
Dalyn,Lee Sohyun,이소현,달린,8/27/1999,ANS,South Korea,,,F
Dami,Lee Yoobin,이유빈,다미,3/7/1997,Dreamcatcher,South Korea,Seoul,,F
Dami,Hong Dayoung,홍다영,담이,6/7/2001,ANS,South Korea,,,F
Damon,Hu Boohan,후보한,데이먼,7/2/1996,VARSITY,China,,,M
Dan-a,Park Seungyeon,박승연,단아,6/26/1993,Matilda,South Korea,,,F
Kang Daniel,Kang Daniel,강다니엘,다니엘,12/10/1996,Wanna One,South Korea,Busan,,M
Dany,Jeon Eunji,전은지,다니,1/20/1998,Ho1iday,South Korea,,,F
Daon,Ahn Seonil,안선일,다온,12/10/2000,DUSTIN,South Korea,,,M
Dara,Park Sandara,박산다라,다라,11/12/1984,2NE1,South Korea,,,F
Dasom,Kim Dasom,김다솜,다솜,5/6/1993,SISTAR,South Korea,,,F
Dasom,Lee Dasom,이다솜,다솜,11/13/1993,2EYES,South Korea,Cheongju,,F
Dawon,Nam Dawon,남다원,다원,3/16/1997,Cosmic Girls,South Korea,Seoul,,F
Dawon,Lee Sanghyuk,이상혁,다원,7/24/1995,SF9,South Korea,,,M
Dawon,Cho Dawon,조다원,다원,5/12/2000,VARSITY,South Korea,,,M
Dawon,Lee Dawon,이다원,다원,12/2/1996,ARIAZ,South Korea,,,F
Daye,Kim Hyunjung,김현정,다예,2/25/1998,Berry Good,South Korea,,,F
Dayoung,Kim Dayoung,김다영,다영,2/2/1991,Blady,South Korea,Jeonju,,F
Dayoung,Im Dayoung,임다영,다영,5/14/1999,Cosmic Girls,South Korea,Jeju,,F
Dayun,Kim Dayun,김다윤,다윤,11/20/2000,Bonus Baby,South Korea,,,F
Della,Park Sehyun,박세현,델라,9/3/1995,Rockit Girl,South Korea,,,F
Denise,Kim Denise,김데니스,데니스,1/11/2001,SECRET NUMBER,South Korea,,,F
Dino,Lee Chan,이찬,디노,2/11/1999,Seventeen,South Korea,Iksan,,M
Dita,Dita Karang,디타 가랑,디타,12/25/1996,SECRET NUMBER,Indonesia,Yogyakarta,,F
DK,Lee Seongmin,이석민,도겸,2/18/1997,Seventeen,South Korea,Yongin,,M
DK,Kim Donghyuk,김동혁,디케이,1/3/1997,iKON,South Korea,,,M
Doah,Kim Doah,김도아,도아,12/4/2003,FANATICS,South Korea,,FANATICS FLAVOR,F
Dohee,Yoon Dohee,윤도희,도희,9/24/1999,NeonPunch,South Korea,,,F
Dohyon,Nam Dohyon,남도현,도현,11/10/2004,X1,South Korea,,,M
Dohyuk,Kim Dohyuk,김도혁,도혁,1/16/1998,14U,South Korea,,,M
Doi,Kim Doi,김도이,도이,4/12/1996,FANATICS,South Korea,,,F
Dojin,Jeon Yongtae,전용태,도진,3/7/1997,ENOi,South Korea,,,M
Dokyun,Na Dokyun,나도균,도균,2/11/1991,HISTORY,South Korea,Daejeon,,M
Donggeon,Song Donggeon,송동건,동건,7/15/1999,TOO,South Korea,,,M
Donghae,Lee Donghae,이동해,동해,10/15/1986,Super Junior,South Korea,Mokpo,Super Junior-M,M
Kim Donghan,Kim Donghan,김동한,동한,7/3/1998,JBJ,South Korea,Daegu,,M
Dongheon,Lee Dongheon,이동헌,동헌,8/4/1995,Verivery,South Korea,,,M
Donghun,Lee Donghun,이동훈,동훈,5/15/1993,A.C.E,South Korea,Suncheon,,M
Donghyun,Kim Donghyun,김동현,동현,2/12/1989,Boyfriend,South Korea,Seoul,,M
Donghyun,Kim Donghyun,김동현,동현,2/23/1999,Golden Child,South Korea,,,M
Donghyun,Kim Donghyun,김동현,동현,9/17/1998,AB6IX,South Korea,Daejeon,MXM,M
Dongjun,Kim Dongjun,김동준,동준,2/11/1992,ZE:A,South Korea,Busan,,M
Dongkyu,Moon Dongkyu,문동규,동규,11/16/1992,Spectrum,South Korea,,,M
Dongmyeong,Son Dongmyeong,곤동명,동명,1/20/2000,Onewe,South Korea,,,M
Dongpyo,Son Dongpyo,손동표,동표,9/9/2002,X1,South Korea,,,M
Dongwon,Lee Dongwon,이동원,동원,1/1/1994,KNK,South Korea,,,M
Dongwoo,Jang Dongwoo,장동우,동우,11/22/1990,Infinite,South Korea,Guri,Infinite H,M
Son Dongwoon,Son Dongwoon,손동운,동운,6/6/1991,Highlight,South Korea,Busan,,M
Doojoon,Yoon Doojoon,윤두준,두준,7/4/1989,Highlight,South Korea,Goyang,,M
Dowoon,Yoon Dowoon,윤도운,도운,8/25/1995,DAY6,South Korea,,,M
Doyeon,Kim Doyeon,김도연,도연,12/4/1999,Weki Meki,South Korea,Incheon,"I.O.I, WJMK",F
Doyoung,Kim Dongyoung,김동영,도영,2/1/1996,NCT,South Korea,Guri,"NCT U, NCT 127",M
Doyoung,Kim Doyoung,김도영,도영,12/4/2003,Treasure,South Korea,,,M
Doyum,Jeon Doyum,전도염,도염,2/21/2002,1the9,South Korea,Daejeon,,M
Dylan,Park Yeonjae,박연재,딜란,7/26/2002,D-CRUNCH,South Korea,,,M
Dawn,Kim Hyojong,김효종,이던,6/1/1994,,South Korea,,,M
E-tion,Lee Changyoon,이창윤,이션,12/24/1994,ONF,South Korea,Jeonju,,M
E-Young,Noh Yiyoung,노이영,이영,8/16/1992,After School,South Korea,Chuncheon,,F
E.sol,Jeon Jaehyuk,전재혁,이솔,9/17/1992,14U,South Korea,,,M
E:U,Park Jiwon,박지원,이유,5/19/1998,Everglow,South Korea,,,F
Eli,Ellison Kim,엘리슨 킴,일라이,3/13/1991,U-KISS,USA,Los Angeles,,M
Elkie,Chong Ting Yan,쫑딩얀,엘키,11/2/1998,CLC,Hong Kong,Hong Kong,,F
Ellin,Kim Minyoung,김민영,엘린,4/2/1990,Crayon Pop,South Korea,Daegu,,F
Elly,Jung Haerim,정해림,엘리,7/20/1998,Weki Meki,South Korea,,,F
Ellyn,Bang Sunhee,방선희,엘린,10/19/2002,Girlkind,South Korea,,,F
Eric,Son Youngjae,손영재,에릭,12/22/2000,The Boyz,South Korea,,,M
Eson,Kim Jungmin,김정민,이슨,12/28/1996,We In The Zone,South Korea,Honolulu,,M
Euaerin,Lee Hyemin,이혜민,이유애린,5/3/1988,,South Korea,Seoul,,F
Euijin,Hong Euijin,홍의진,의진,10/8/1996,Sonamoo,South Korea,Gwangju,UNI.T,F
Lee Euijin,Lee Euijin,이의진,의진,2/15/1990,Bigflo,South Korea,Seoul,,M
Eun,Choi Eunmi,최은미,은,5/14/1990,Two X,South Korea,,,F
Eunbi,Kwon Eunbi,권은비,은비,9/27/1995,IZ*ONE,South Korea,Seoul,,F
Eunbin,Kwon Eunbin,권은빈,은빈,1/6/2000,CLC,South Korea,Seoul,,F
Eunchae,Kwon Chaewon,권채원,은채,5/26/1999,DIA,South Korea,,,F
Eunha,Jung Eunbi,정은비,은하,5/30/1997,Gfriend,South Korea,Seoul,,F
Eunho,Shin Donggeun,신동근,은호,9/10/1992,UNVS,South Korea,,,M
Eunhyuk,Lee Hyukjae,이혁재,은혁,4/4/1986,Super Junior,South Korea,Ilsan,Super Junior-M,M
Eunice,Heo Sooyeon,허수연,유니스,11/2/1991,DIA,South Korea,Busan,,F
Eunjae,Kwak Eunjae,곽은재,은재,5/2/1996,14U,South Korea,,,M
Eunji,Jung Eunji,정은지,은지,8/18/1993,Apink,South Korea,Busan,,F
Eunji,Hong Eunji,홍은지,은지,7/19/1992,Brave Girls,South Korea,Seoul,,F
Eunjin,Ahn Eunjin,안은진,은진,8/31/1997,,South Korea,Mokpo,,F
Eunjin,Ma Eunjin,마은진,은진,5/23/1997,Playback,South Korea,Wonju,,F
Eunjin,Moon Eunjin,문은진,은진,11/5/1998,Highteen,South Korea,,,F
Eunjo,Park Eunjo,박은조,은조,3/7/2002,Dreamnote,South Korea,,,F
Eunjun,Choi Eunjun,최은준,은준,8/6/1999,Spectrum,South Korea,,,M
Eunjung,Ham Eunjung,함은정,은정,12/12/1988,T-ara,South Korea,Seoul,,F
Hong Eunki,Hong Eunki,홍은기,은기,9/29/1997,,South Korea,,,M
Eunkwang,Seo Eunkwang,서은광,은광,11/22/1990,BtoB,South Korea,Yongin,,M
Eunsang,Lee Eunsang,이은상,은상,10/16/2002,X1,South Korea,,,M
Eunseo,Son Juyeon,손주연,은서,5/27/1998,Cosmic Girls,South Korea,Incheon,,F
Eunsung,Lee Eunsung,이은성,은성,9/7/2000,TheEastLight,South Korea,,,M
Eunwoo,Jeong Eunwoo,정은우,은우,7/1/1998,Hinapia,South Korea,,Pristin V,F
Eunwoo,Cha Eunwoo,차은우,은우,3/30/1997,ASTRO,South Korea,Gunpo,,M
Eunyoung,Joo Eunyoung,주은영,은영,6/12/1992,Two X,South Korea,,,F
Exy,Chu Sojung,추소정,엑시,11/6/1995,Cosmic Girls,South Korea,Busan,,F
Fei,Wang FeiFei,왕페이페이,페이,4/27/1987,miss A,China,Haikou,,F
Felix,Lee Youngbok,이용복,필릭스,9/15/2000,Stray Kids,South Korea,Sydney,,M
G-Dragon,Kwon Jiyong,권지용,지드래곤,8/18/1988,BIGBANG,South Korea,Seoul,GD&TOP,M
G.NA,Gina Jane Choi,최지나,지나,9/13/1987,,Canada,Edmonton,,F
G.O,Jung Byunghee,정병희,지오,11/6/1987,MBLAQ,South Korea,Changwon,,M
Gabin,Kim Gabin,김가빈,가빈,9/18/1989,Blady,South Korea,Busan,,F
Gaeul,Park Gaeul,박가을,가을,5/8/1999,Favorite,South Korea,Seoul,,F
Gaeun,Cho Kaeun,조가은,가은,7/28/1992,,South Korea,Changwon,,F
Gaga,Lee Soobin,이수빈,가가,11/10/1994,Gate9,South Korea,,,F
Gaga,Li Jia Jia,리 지아 지아,가가,9/1/1999,NATURE,China,,,F
Gahyeon,Lee Gahyeon,이가현,가현,2/3/1999,Dreamcatcher,South Korea,Seongnam,,F
Gain,Son Gain,손가인,가인,9/20/1987,Brown Eyed Girls,South Korea,,,F
Gaon,Beom Gaon,범가온,가온,3/9/2001,Bonus Baby,South Korea,,,F
Gayoon,Heo Gayoon,허가윤,가윤,5/18/1990,4minute,South Korea,Seoul,2YOON,F
Gayoung,Kim Gayoung,김가영,가영,12/2/1991,Stellar,South Korea,Seoul,,F
Geummi,Baek Boram,백보람,금미,6/18/1988,Crayon Pop,South Korea,Seoul,,F
Gihwan,Kim Gihwan,김기환,기환,11/24/1993,SIGNAL,South Korea,,,M
Gijung,Kim Gijung,김기중,기중,1/24/2001,IM,South Korea,,,M
Lee Gikwang,Lee Gikwang,이기광,기광,3/30/1990,Highlight,South Korea,Gwangju,,M
Giru,Park Giru,박기루,기루,8/14/1991,Blady,South Korea,Incheon,,F
Giseok,Jun Giseok,정기석,기석,5/2/1997,IM,South Korea,,,M
Gohn,Kim Dongsung,김동성,곤,8/1/1992,,South Korea,Seoul,,M
Gohyeon,Go Hyeon,고현,고현,10/1/1994,14U,South Korea,,,M
Gon,Kim Seongjung,김성중,곤,11/13/1998,ARGON,South Korea,,,M
Gongchan,Gong Chansik,공찬식,공찬,8/14/1993,B1A4,South Korea,Suncheon,,M
Gowon,Park Chaewon,박채원,고원,11/19/2000,LOONA,South Korea,,Loona yyxy,F
Gowoon,Moon Joojeong,문유정,고운,12/18/1998,Berry Good,South Korea,,,F
Gracie,Kim Gaeun,김가운,그레이시,10/28/1996,H.U.B,South Korea,,,F
Green,Kim Jiwon,김지원,지니,7/1/1997,RedSquare,South Korea,Daegu,,F
Gun,Kwak Gun,곽건,건,9/29/2001,14U,South Korea,,,M
Gun,Yang Hyuk,양혁,건,3/15/2000,ENOi,South Korea,,,M
Gunmin,Lee Gunmin,이건민,건민,10/3/1994,B.I.G,South Korea,Gangwon,,M
Gunwoo,Lee Gunwoo,이건우,건우,1/30/1989,MYNAME,South Korea,Daejeon,,M
Gyehyeon,Jo Gyehyeon,조계현,계현,5/14/1999,Verivery,South Korea,,,M
Gyeongtae,Kwon Gyeongtae,권경태,경태,7/23/2000,14U,South Korea,,,M
Gyujin,Han Gyujin,한규진,규진,11/21/1997,UP10TION,South Korea,Icheon,,M
Gyuri,Park Gyuri,박규리,규리,5/21/1988,KARA,South Korea,Seoul,,F
Gyuri,Jang Gyuri,장규리,규리,12/27/1997,fromis_9,South Korea,Seoul,,F
Habin,Yoo Habin,유하빈,하빈,3/10/2002,Dreamnote,South Korea,,,F
Haebin,Han Haebin,한해빈,해빈,8/16/1995,Gugudan,South Korea,,,F
Haechan,Lee Donghyuk,이동혁,해찬,6/6/2000,NCT,South Korea,,"NCT 127, NCT Dream",M
Haein,Yeom Haein,염해인,해인,5/19/1995,LABOUM,South Korea,Ojeonggu,,F
Haena,Lee Haena,이해나,해나,6/2/1991,Matilda,South Korea,,,F
Haena,Jeon Eunbi,전은비,해나,2/19/2002,ANS,South Korea,,,F
Haeri,Lee Haeri,이해리,해리,2/14/1985,Davichi,South Korea,Seoul,,F
Haeri,Jung Haeri,정해리,해리,1/14/1997,P.O.P,South Korea,Seoul,,F
Haeryeong,Na Haeryeong,나해령,해령,11/11/1994,BESTie,South Korea,,,F
Haeun,Yoon Haeun,윤하은,하은,3/12/1999,3YE,South Korea,,,F
Haeyeon,Lee Taeyeon,이태연,해연,1/11/1994,Gate9,South Korea,,,F
Haeyoon,Park Haeyoon,박해윤,해윤,1/10/1996,Cherry Bullet,South Korea,,,F
Hajeong,Lee Hajeong,이하정,하정,9/23/1997,,South Korea,,,F
Hakmin,Lee Hakmin,이학민,학민,9/20/2000,TRCNG,South Korea,,,M
Hamin,Jo Hamin,조하민,하민,10/24/1997,ENOi,South Korea,,,M
Han,Han Jisung,한지성,한,9/14/2000,Stray Kids,South Korea,Incheon,3RACHA,M
Han Geng,Han Geng,한경,한경,2/9/1984,,China,Mudanjiang,,M
Han Hyeri,Han Hyeri,한혜리,한혜리,8/24/1997,I.B.I,South Korea,Gwangmyeong,,F
Han Leeseul,Han Jiyoon,한지윤,한이슬,2/12/2000,Rockit Girl,South Korea,,,F
Hana,Shin Bora,신보라,하나,4/30/1993,Gugudan,South Korea,,,F
Hana,Jung Hana,정하나,하나,2/2/1990,SECRET,South Korea,Uljeongbu,,F
