Date,Artist,Song Name,Director,Video,Type,Release,Full Name,Date of Birth,Group,Country,Birthplace,Gender,Debut,Company,Fanclub Name,Active,Members,Orig. Memb.
1/13/2020,Zico,Anysong,,https://youtu.be/UdyjeUwPz_E,Boy Solo,Major,Woo Jiho,9/14/1992,Block B,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
1/12/2020,Hara,Hello,,https://youtu.be/C9V7Cd0SmKc,Girl Solo,Japanese,Koo Hara,1/13/1991,KARA,South Korea,Gwangju,F,NaN,NaN,NaN,NaN,1.0,1.0
1/9/2020,Ong Seung Wu,We Belong,,https://youtu.be/AkE_L1Lj4Lc,Boy Solo,Major,Ong Seunwu,8/25/1995,Wanna One,South Korea,Incheon,M,NaN,NaN,NaN,NaN,1.0,1.0
1/8/2020,Amber,Stay Calm,,https://youtu.be/tBWh4IAHgWQ,Girl Solo,Major,Amber Josephine Liu,9/18/1992,f(x),USA,Los Angeles,F,NaN,NaN,NaN,NaN,1.0,1.0
1/6/2020,Younha,Dark Cloud,,https://youtu.be/hrO-BgLjJ-Q,Girl Solo,Major,Go Younha,4/29/1988,,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
12/26/2019,Jiyeon,Take A Hike,,https://youtu.be/tJNS1W0YmdE,Girl Solo,Major,Park Jiyeon,6/7/1993,T-ara,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
12/13/2019,Kim Jaehwan,The Time I Need,,https://youtu.be/t_aAAx2gtvY,Boy Solo,Major,Kim Jaehwan,5/27/1996,Wanna One,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
12/11/2019,BoA,Starry Night faet. Crush,,https://youtu.be/u3ZYUsd1vRU,Girl Solo,Major,Kwon Boa,11/5/1989,,South Korea,Guri,F,NaN,NaN,NaN,NaN,1.0,1.0
12/4/2019,Park Jihoon,360,,https://youtu.be/6Fibpj267H0,Boy Solo,Major,Park Jihoon,5/29/1999,Wanna One,South Korea,Masan,M,NaN,NaN,NaN,NaN,1.0,1.0
12/3/2019,U-Kwon,Fuego feat. RGP,,https://youtu.be/MyAoZfwWdgk,Boy Solo,Major,Kim Yukwon,4/9/1992,Block B,South Korea,Suwon,M,NaN,NaN,NaN,NaN,1.0,1.0
11/30/2019,J.Y. Park,"Fever feat. Superbee, BIBI",,https://youtu.be/IePbjLAUvf0,Boy Solo,Major,JYP,,,,,M,NaN,NaN,NaN,NaN,1.0,1.0
11/25/2019,Kang Daniel,Touchin',,https://youtu.be/aSGisoCdLPc,Boy Solo,Major,Kang Daniel,12/10/1996,Wanna One,South Korea,Busan,M,NaN,NaN,NaN,NaN,1.0,1.0
11/18/2019,IU,Blueming,,https://youtu.be/D1PvIWdJ8xo,Girl Solo,Major,Lee Jieun,5/16/1993,,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
11/5/2019,Dawn,Money,,https://youtu.be/Kr8-EFdl6gg,Boy Solo,Major,Kim Hyojong,6/1/1994,,South Korea,,M,NaN,NaN,NaN,NaN,1.0,1.0
11/5/2019,Hyuna,Flower Shower,,https://youtu.be/8xqSz6_RJeU,Girl Solo,Major,Kim Hyuna,6/6/1992,4minute,South Korea,Jeolla,F,NaN,NaN,NaN,NaN,1.0,1.0
11/5/2019,Hyuna,Flower Shower,,https://youtu.be/8xqSz6_RJeU,Girl Solo,Major,Moon Hyuna,1/19/1987,,South Korea,Yeosu,F,NaN,NaN,NaN,NaN,1.0,1.0
11/3/2019,Nam Woohyun,When Fall Comes,,https://youtu.be/vzFF-boVVVk,Boy Solo,Major,Nam Woohyun,2/8/1991,Infinite,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
11/1/2019,Yoonsan,Free Falling (Eng Ver.),,https://youtu.be/3NBcWFRvTI4,Boy Solo,English,Yoon Sanghyuk,8/22/1994,HOTSHOT,South Korea,,M,NaN,NaN,NaN,NaN,1.0,1.0
11/1/2019,Jessi,Drip feat. Jay Park,,https://youtu.be/uy4-gePx5xU,Girl Solo,Major,Jessica Ho,12/17/1988,,New York,Queens,F,NaN,NaN,NaN,NaN,1.0,1.0
10/31/2019,Zico,Balloon,,https://youtu.be/FEDXPMy0GM8,Boy Solo,Minor,Woo Jiho,9/14/1992,Block B,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
10/30/2019,Yubin,Silent Movie feat. Yoon MiRae,,https://youtu.be/6M-GNLCPf2I,Girl Solo,Major,Kim Yubin,10/4/1988,Wonder Girls,South Korea,Gwangju,F,NaN,NaN,NaN,NaN,1.0,1.0
10/29/2019,Hoody,Adios feat. GRAY,,https://youtu.be/3JrDhzPoLkU,Girl Solo,Major,Kim Hyunjung,2/10/1990,,South Korea,,F,NaN,NaN,NaN,NaN,1.0,1.0
10/28/2019,Taeyeon,Spark,,https://youtu.be/eP4ga_fNm-E,Girl Solo,Major,Kim Taeyeon,3/9/1989,SNSD,South Korea,Jeonju,F,NaN,NaN,NaN,NaN,1.0,1.0
10/22/2019,Young-jae,Forever Love,,https://youtu.be/RodzwqdC0RA,Boy Solo,Major,Yoo Youngjae,1/24/1994,B.A.P,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
10/22/2019,Takeuchi Miyu,My Type,,https://youtu.be/hYJ37-p57Rw,Girl Solo,Special,,,,,,,NaN,NaN,NaN,NaN,1.0,1.0
10/20/2019,AleXa,Bomb,,https://youtu.be/2OjCMR8DGLg,Girl Solo,Major,Kim Seri,12/6/1996,,USA,,F,NaN,NaN,NaN,NaN,1.0,1.0
10/19/2019,Zelo,Drunken Master,,https://youtu.be/Jaz-DBqBeKQ,Boy Solo,Minor,Choi Junhong,10/15/1996,B.A.P,South Korea,Mokpo,M,NaN,NaN,NaN,NaN,1.0,1.0
10/15/2019,Lim Kim,Yellow,,https://youtu.be/o5S3sPpkd8w,Girl Solo,Major,Kim Yerim,1/21/1994,,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
10/14/2019,Lim Hyunsik,Dear Love,,https://youtu.be/G2TQIyjyrKk,Boy Solo,Major,Lim Hyunsik,3/7/1992,BtoB,South Korea,Ilsan,M,NaN,NaN,NaN,NaN,1.0,1.0
10/10/2019,Tiffany,Run For Your Life,,https://youtu.be/Rp8sVAr6yGY,Girl Solo,English,Hwang Miyoung,8/1/1989,SNSD,South Korea,San Francisco,F,NaN,NaN,NaN,NaN,1.0,1.0
10/10/2019,Jung Daehyun,Aight,,https://youtu.be/Fr1GTfOqFrs,Boy Solo,Major,Jung Daehyun,6/28/1993,B.A.P,South Korea,Busan,M,NaN,NaN,NaN,NaN,1.0,1.0
10/2/2019,Zico,Extreme,,https://youtu.be/7Z_aSAiP3vQ,Boy Solo,Minor,Woo Jiho,9/14/1992,Block B,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
10/2/2019,Jeong Sewoon,When It Rains,,https://youtu.be/VffUe5aWCAc,Boy Solo,Major,Jeong Sewoon,5/31/1997,,South Korea,Changwon,M,NaN,NaN,NaN,NaN,1.0,1.0
9/30/2019,Chen,Shall We?,,https://youtu.be/AO1OqWwKj1A,Boy Solo,Major,Kim Jongdae,9/21/1992,EXO,South Korea,Silheung,M,NaN,NaN,NaN,NaN,1.0,1.0
9/30/2019,Zico,Human,,https://youtu.be/1QMv1Qx5hRw,Boy Solo,Minor,Woo Jiho,9/14/1992,Block B,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
9/30/2019,Zico,"Daredavil feat. Jvcki Wai, Yumdda",,https://youtu.be/9nkZ0F9QdVI,Boy Solo,Major,Woo Jiho,9/14/1992,Block B,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
9/28/2019,Minty,Arcadia,,https://youtu.be/6rzemizJoNQ,Girl Solo,Major,,,,,,,NaN,NaN,NaN,NaN,1.0,1.0
9/27/2019,j-hope,Chicken Noodle Soup feat. Becky G,,https://youtu.be/i23NEQEFpgQ,Boy Solo,Major,Jung Hoseok,2/18/1994,BTS,South Korea,Gwangju,M,NaN,NaN,NaN,NaN,1.0,1.0
9/26/2019,PONY,Divine,,https://youtu.be/J0cLGT4kPV0,Girl Solo,CF,,,,,,,NaN,NaN,NaN,NaN,1.0,1.0
9/23/2019,Jessi,Who Dat B,August Frogs,https://youtu.be/zaYqW9s9Aok,Girl Solo,Major,Jessica Ho,12/17/1988,,New York,Queens,F,NaN,NaN,NaN,NaN,1.0,1.0
9/20/2019,Amber,Hands Behind My Back,,https://youtu.be/ZTtnVES4EVk,Girl Solo,Major,Amber Josephine Liu,9/18/1992,f(x),USA,Los Angeles,F,NaN,NaN,NaN,NaN,1.0,1.0
9/18/2019,Punch,Sometimes,,https://youtu.be/fJubafP3IMI,Girl Solo,Minor,Bae Jinyoung,2/19/1993,,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
9/4/2019,Wheein,Good Bye,,https://youtu.be/U_dpIqCDcZk,Girl Solo,Major,Jung Wheein,4/17/1995,Mamamoo,South Korea,Jeonju,F,NaN,NaN,NaN,NaN,1.0,1.0
8/29/2019,Ravi,Still Nirvana,,https://youtu.be/5JPGujmFbis,Boy Solo,Major,Kim Wonsik,2/15/1993,VIXX,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
8/28/2019,Benji,Telephone,,https://youtu.be/aLGAqZEiN3c,Boy Solo,Major,Baek Jaewook,5/3/1992,B.I.G,USA,Indianapolis,M,NaN,NaN,NaN,NaN,1.0,1.0
8/28/2019,Crush,Nappa,,https://youtu.be/OoMIAo0a2TA,Boy Solo,Major,Shin-Hyoseob,5/3/1992,,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
8/27/2019,Sunmi,Lalalay,,https://youtu.be/LrggmyDhWBo,Girl Solo,Major,Lee Sunmi,5/2/1992,Wonder Girls,South Korea,Iksan,F,NaN,NaN,NaN,NaN,1.0,1.0
8/27/2019,Peniel,Flip feat. Beenzino,,https://youtu.be/USlrvoGQGEc,Boy Solo,Minor,,,,,,,NaN,NaN,NaN,NaN,1.0,1.0
8/25/2019,Jamie,Stay Beautiful,,https://youtu.be/hfLZnNby97c,Girl Solo,Major,Park Jimin,7/5/1997,15&,South Korea,Junggu,F,NaN,NaN,NaN,NaN,1.0,1.0
8/21/2019,Oh Hayoung,Don't Make Me Laugh,,https://youtu.be/xpDlghQYvoo,Girl Solo,Major,Oh Hayoung,7/19/1996,Apink,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
8/21/2019,Oh Hayoung,Don't Make Me Laugh,,https://youtu.be/5CcVngv5ALw,Girl Solo,Major,Oh Hayoung,7/19/1996,Apink,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
8/19/2019,VIINI,Genie,,https://youtu.be/VN3sefQ0ksE,Boy Solo,Major,Kwon Hyunbin,3/4/1997,JBJ,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
8/5/2019,Eyedi,Perfect 6th Sence,,https://youtu.be/i7Q52jThBVg,Girl Solo,Japanese,Nam Yujin,12/8/1995,,South Korea,Suncheon,F,NaN,NaN,NaN,NaN,1.0,1.0
8/1/2019,Tiffany,Magnetic Moon,,https://youtu.be/oM_t7Y8gBwU,Girl Solo,Major,Hwang Miyoung,8/1/1989,SNSD,South Korea,San Francisco,F,NaN,NaN,NaN,NaN,1.0,1.0
7/31/2019,Ruann,Beep Beep,,https://youtu.be/FR8VWEgcvU8,Girl Solo,Major,Ruan Oyama,7/21/2003,,Japan,Osaka,F,NaN,NaN,NaN,NaN,1.0,1.0
7/31/2019,Yenny,Happy Now feat. Moonbyul,,https://youtu.be/GVGS_QTkvfw,Girl Solo,Special,Park Yeeun,5/26/1989,Wonder Girls,South Korea,Goyang,F,NaN,NaN,NaN,NaN,1.0,1.0
7/31/2019,Bang Yongguk,Orange Drive,,https://youtu.be/TUCsNk8PtCA,Boy Solo,Major,Bang Yongguk,3/31/1990,B.A.P,South Korea,Incheon,M,NaN,NaN,NaN,NaN,1.0,1.0
7/31/2019,Peniel,FLY23,,https://youtu.be/F13ICLLdgHY,Boy Solo,Major,,,,,,,NaN,NaN,NaN,NaN,1.0,1.0
7/30/2019,Eden,Heaven feat. Heize,,https://youtu.be/ZuFwZW1hdq8,Boy Solo,Major,,,,,,,NaN,NaN,NaN,NaN,1.0,1.0
7/26/2019,Taemin,Famous,,https://youtu.be/F32hhOsJ14k,Boy Solo,Japanese,Lee Taemin,7/18/1993,SHINee,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
7/26/2019,Park Boram,Do as I Like,,https://youtu.be/M_eRLMCC6vU,Girl Solo,Major,,,,,,,NaN,NaN,NaN,NaN,1.0,1.0
7/25/2019,Kang Daniel,What Are You Up To,,https://youtu.be/_-QY40Reub8,Boy Solo,Major,Kang Daniel,12/10/1996,Wanna One,South Korea,Busan,M,NaN,NaN,NaN,NaN,1.0,1.0
7/25/2019,Woosung,Face,,https://youtu.be/uvs4nyijMZw,Boy Solo,Major,Choi Sunghyuk,9/24/1994,SNUPER,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
7/19/2019,Hong Eunki,Blow,,https://youtu.be/VEJ6GLlSGG4,Boy Solo,Major,Hong Eunki,9/29/1997,,South Korea,,M,NaN,NaN,NaN,NaN,1.0,1.0
7/18/2019,Taeyong,Long Flight,,https://youtu.be/SvV49SD99DY,Boy Solo,Minor,Lee Taeyong,7/1/1995,NCT,South Korea,,M,NaN,NaN,NaN,NaN,1.0,1.0
7/12/2019,Lee Gaeun,Remember You,,https://youtu.be/q7oOpkYZvK4,Girl Solo,Major,,,,,,,NaN,NaN,NaN,NaN,1.0,1.0
7/10/2019,Baekhyun,UN Village,,https://youtu.be/-EfjXQgE1e8,Boy Solo,Major,Byun Baekhyun,5/6/1992,EXO,South Korea,Wonmi,M,NaN,NaN,NaN,NaN,1.0,1.0
7/8/2019,Sungwoon,Blue,,https://youtu.be/Wiq0J7_jHI8,Boy Solo,Major,Ha Sungwoon,3/22/1994,Wanna One,South Korea,Goyang,M,NaN,NaN,NaN,NaN,1.0,1.0
7/7/2019,Heize,We Don't Talk Anymore feat. Giriboy,,https://youtu.be/ByHNlfmmT-w,Girl Solo,Major,Jang Dahye,8/9/1991,,South Korea,Daegu,F,NaN,NaN,NaN,NaN,1.0,1.0
7/2/2019,Ailee,Room Shaker,,https://youtu.be/3BypwfOAmGU,Girl Solo,Major,Lee Yejin,5/30/1989,,South Korea,Denver,F,NaN,NaN,NaN,NaN,1.0,1.0
6/30/2019,Punch,Love Me,,https://youtu.be/hjZDpw3aNmQ,Girl Solo,Major,Bae Jinyoung,2/19/1993,,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
6/29/2019,Sulli,Goblin,,https://youtu.be/P5uE7KDkDFE,Girl Solo,Major,Choi Jinri,3/29/1994,,South Korea,Busan,F,NaN,NaN,NaN,NaN,1.0,1.0
6/27/2019,Eun Jiwon,I'm On Fire feat. Blue.D,,https://youtu.be/iR7HsIrFqoU,Boy Solo,Major,Eun Jiwon,6/8/1978,,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
6/27/2019,Lana,Take The Wheel,,https://youtu.be/uABVI1yEX_w,Girl Solo,Major,Yoo Lana,10/23/1996,,,,F,NaN,NaN,NaN,NaN,1.0,1.0
6/26/2019,Lee Euijin,Insomnia,,https://youtu.be/64DAMwporD8,Boy Solo,Major,Lee Euijin,2/15/1990,Bigflo,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
6/24/2019,Chungha,Snapping,Rigend Film,https://youtu.be/deV_DmHKwjc,Girl Solo,Major,Kim Chungha,2/9/1996,,South Korea,Dallas,F,NaN,NaN,NaN,NaN,1.0,1.0
6/20/2019,Zelo,Questions,,https://youtu.be/4EVjJpieKVM,Boy Solo,Major,Choi Junhong,10/15/1996,B.A.P,South Korea,Mokpo,M,NaN,NaN,NaN,NaN,1.0,1.0
6/18/2019,Leo,Romanticism,,https://youtu.be/nO4NxoqEQ30,Boy Solo,Major,Jung Taekwon,11/10/1990,VIXX,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
6/18/2019,Yesung,Pink Magic,,https://youtu.be/Tel9LEfAzwI,Boy Solo,Major,Kim Jongwoon,8/24/1984,Super Junior,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
6/13/2019,Somi,Birthday,,https://youtu.be/oDJ4ct59NC4,Girl Solo,Major,Jeon Somi,3/9/2001,,South Korea,Ontario,F,NaN,NaN,NaN,NaN,1.0,1.0
6/12/2019,Bibi,Nabi,,https://youtu.be/I3uzROnFGnA,Girl Solo,Major,Kim Hyung-seo,9/27/1998,,,,F,NaN,NaN,NaN,NaN,1.0,1.0
6/11/2019,Ong Seung Wu,Heart Sign,,https://youtu.be/bVDBEEkWJHM,Boy Solo,CF,Ong Seunwu,8/25/1995,Wanna One,South Korea,Incheon,M,NaN,NaN,NaN,NaN,1.0,1.0
6/7/2019,SAAY,ZGZG,,https://youtu.be/oA6sS1ndTM4,Girl Solo,Major,Kwon Sohee,4/13/1993,,South Korea,Busan,F,NaN,NaN,NaN,NaN,1.0,1.0
6/4/2019,BoA,Feedback feat. Nucksal,,https://youtu.be/Oo-LPNYc5qo,Girl Solo,Major,Kwon Boa,11/5/1989,,South Korea,Guri,F,NaN,NaN,NaN,NaN,1.0,1.0
5/30/2019,Lee Hi,No One feat. BI of IKON,,https://youtu.be/GQqyCeKf8rw,Girl Solo,Major,Lee Hayi,9/23/1996,,South Korea,Bucheon,F,NaN,NaN,NaN,NaN,1.0,1.0
5/28/2019,Giant Pink,Tuesday is better than Monday feat. Yeri,,https://youtu.be/CeT--DbjtQI,Girl Solo,Major,Park Yunha,4/23/1991,,South Korea,Busan,F,NaN,NaN,NaN,NaN,1.0,1.0
5/4/2019,Jenyer,illusion,,https://youtu.be/bB-DEiPBh0Y,Girl Solo,Major,Jeon Jiyoon,10/15/1990,4minute,South Korea,Seoul,F,NaN,NaN,NaN,NaN,1.0,1.0
5/2/2019,Park Bom,4:44 feat. Wheein,,https://youtu.be/uaAAG1e4mTc,Girl Solo,Major,Park Bom,3/24/1984,2NE1,South Korea,,F,NaN,NaN,NaN,NaN,1.0,1.0
5/1/2019,Kim Donghan,Focus,,https://youtu.be/0lfRkODaTy8,Boy Solo,Major,Kim Donghan,7/3/1998,JBJ,South Korea,Daegu,M,NaN,NaN,NaN,NaN,1.0,1.0
4/30/2019,Gray,TMI,,https://youtu.be/oFvHoyLpCoQ,Boy Solo,Major,Lee Seonghwa,12/8/1996,,South Korea,Seoul,M,NaN,NaN,NaN,NaN,1.0,1.0
4/26/2019,Eyedi,& New,,https://youtu.be/zElfR8e1iso,Girl Solo,Major,Nam Yujin,12/8/1995,,South Korea,Suncheon,F,NaN,NaN,NaN,NaN,1.0,1.0
4/22/2019,Son Dongwoon,In The Silence,,https://youtu.be/0Z7kxtyBZUo,Boy Solo,Major,Son Dongwoon,6/6/1991,Highlight,South Korea,Busan,M,NaN,NaN,NaN,NaN,1.0,1.0
